n,alpha,p,seed,overlap,success
2048,0.135,276,2922,0.9951,1
2048,0.135,276,2923,0.9492,0
2048,0.135,276,2924,0.9785,1
2048,0.135,276,2925,0.9619,1
2048,0.135,276,2926,0.9854,1
2048,0.135,276,2927,0.9873,1
2048,0.135,276,2928,0.9863,1
2048,0.135,276,2929,0.9980,1
2048,0.135,276,2930,0.9902,1
2048,0.135,276,2931,0.9912,1
2048,0.135,276,2932,0.9795,1
2048,0.135,276,2933,0.9883,1
2048,0.135,276,2934,0.9785,1
2048,0.135,276,2935,0.9902,1
2048,0.135,276,2936,0.9941,1
2048,0.135,276,2937,0.9912,1
2048,0.140,287,2918,0.3555,0
2048,0.140,287,2919,0.4355,0
2048,0.140,287,2920,0.9912,1
2048,0.140,287,2921,0.9697,1
2048,0.140,287,2922,0.9922,1
2048,0.140,287,2923,0.6426,0
2048,0.140,287,2924,0.9629,1
2048,0.140,287,2925,0.9473,0
2048,0.140,287,2926,0.9863,1
2048,0.140,287,2927,0.9805,1
2048,0.140,287,2928,0.9834,1
2048,0.140,287,2929,0.9951,1
2048,0.140,287,2930,0.9961,1
2048,0.140,287,2931,0.9922,1
2048,0.140,287,2932,0.3311,0
2048,0.140,287,2933,0.9873,1
2048,0.140,287,2934,0.9648,1
2048,0.140,287,2935,0.9902,1
2048,0.140,287,2936,0.9941,1
2048,0.140,287,2937,0.9844,1
2048,0.145,297,2918,0.3027,0
2048,0.145,297,2919,0.3965,0
2048,0.145,297,2920,0.9922,1
2048,0.145,297,2921,0.9678,1
2048,0.145,297,2922,0.9932,1
2048,0.145,297,2923,0.4932,0
2048,0.145,297,2924,0.9648,1
2048,0.145,297,2925,0.9590,1
2048,0.145,297,2926,0.9824,1
2048,0.145,297,2927,0.9805,1
2048,0.145,297,2928,0.2188,0
2048,0.145,297,2929,0.9395,0
2048,0.145,297,2930,0.9951,1
2048,0.145,297,2931,0.9854,1
2048,0.145,297,2932,0.7754,0
2048,0.145,297,2933,0.9658,1
2048,0.145,297,2934,0.3223,0
2048,0.145,297,2935,0.9844,1
2048,0.145,297,2936,0.9941,1
2048,0.145,297,2937,0.9736,1
2048,0.150,307,2918,0.3486,0
2048,0.150,307,2919,0.3877,0
2048,0.150,307,2920,0.9922,1
2048,0.150,307,2921,0.9717,1
2048,0.150,307,2922,0.9912,1
2048,0.150,307,2923,0.5449,0
2048,0.150,307,2924,0.9707,1
2048,0.150,307,2925,0.9531,1
2048,0.150,307,2926,0.9805,1
2048,0.150,307,2927,0.9463,0
2048,0.150,307,2928,0.3467,0
2048,0.150,307,2929,0.2178,0
2048,0.150,307,2930,0.9912,1
2048,0.150,307,2931,0.9805,1
2048,0.150,307,2932,0.7539,0
2048,0.150,307,2933,0.9863,1
2048,0.150,307,2934,0.3584,0
2048,0.150,307,2935,0.9902,1
2048,0.150,307,2936,0.9854,1
2048,0.150,307,2937,0.9668,1
2048,0.155,317,2918,0.3896,0
2048,0.155,317,2919,0.3086,0
2048,0.155,317,2920,0.9844,1
2048,0.155,317,2921,0.9854,1
2048,0.155,317,2922,0.9912,1
2048,0.155,317,2923,0.5244,0
2048,0.155,317,2924,0.9502,1
2048,0.155,317,2925,0.4023,0
2048,0.155,317,2926,0.9453,0
2048,0.155,317,2927,0.2100,0
2048,0.155,317,2928,0.3662,0
2048,0.155,317,2929,0.2656,0
2048,0.155,317,2930,0.5293,0
2048,0.155,317,2931,0.9766,1
2048,0.155,317,2932,0.8418,0
2048,0.155,317,2933,0.9580,1
2048,0.155,317,2934,0.3242,0
2048,0.155,317,2935,0.9873,1
2048,0.155,317,2936,0.9883,1
2048,0.155,317,2937,0.9639,1
2048,0.160,328,2918,0.3242,0
2048,0.160,328,2919,0.3350,0
2048,0.160,328,2920,0.9863,1
2048,0.160,328,2921,0.9824,1
2048,0.160,328,2922,0.9912,1
2048,0.160,328,2923,0.4453,0
2048,0.160,328,2924,0.9414,0
2048,0.160,328,2925,0.2588,0
2048,0.160,328,2926,0.2383,0
2048,0.160,328,2927,0.9639,1
2048,0.160,328,2928,0.2461,0
2048,0.160,328,2929,0.1963,0
2048,0.160,328,2930,0.9629,1
2048,0.160,328,2931,0.3613,0
2048,0.160,328,2932,0.5264,0
2048,0.160,328,2933,0.9658,1
2048,0.160,328,2934,0.3281,0
2048,0.160,328,2935,0.9912,1
2048,0.160,328,2936,0.9795,1
2048,0.160,328,2937,0.9473,0
4096,0.100,410,2918,0.9990,1
4096,0.100,410,2919,0.9966,1
4096,0.100,410,2920,0.9990,1
4096,0.100,410,2921,0.9980,1
4096,0.100,410,2922,0.9985,1
4096,0.100,410,2923,1.0000,1
4096,0.100,410,2924,0.9995,1
4096,0.100,410,2925,0.9980,1
4096,0.100,410,2926,0.9985,1
4096,0.100,410,2927,0.9971,1
4096,0.100,410,2928,0.9985,1
4096,0.100,410,2929,0.9961,1
4096,0.100,410,2930,0.9966,1
4096,0.100,410,2931,0.9980,1
4096,0.100,410,2932,0.9980,1
4096,0.100,410,2933,0.9980,1
4096,0.100,410,2934,0.9995,1
4096,0.100,410,2935,0.9976,1
4096,0.100,410,2936,0.9980,1
4096,0.100,410,2937,0.9995,1
4096,0.105,430,2918,0.9990,1
4096,0.105,430,2919,0.9966,1
4096,0.105,430,2920,0.9980,1
4096,0.105,430,2921,0.9971,1
4096,0.105,430,2922,0.9971,1
4096,0.105,430,2923,1.0000,1
4096,0.105,430,2924,0.9990,1
4096,0.105,430,2925,0.9985,1
4096,0.105,430,2926,0.9971,1
4096,0.105,430,2927,0.9956,1
4096,0.105,430,2928,0.9976,1
4096,0.105,430,2929,0.9980,1
4096,0.105,430,2930,0.9985,1
4096,0.105,430,2931,0.9985,1
4096,0.105,430,2932,0.9966,1
4096,0.105,430,2933,0.9976,1
4096,0.105,430,2934,0.9976,1
4096,0.105,430,2935,0.9946,1
4096,0.105,430,2936,0.9976,1
4096,0.105,430,2937,0.9976,1
4096,0.110,451,2918,0.9990,1
4096,0.110,451,2919,0.9941,1
4096,0.110,451,2920,0.9961,1
4096,0.110,451,2921,0.9971,1
4096,0.110,451,2922,0.9971,1
4096,0.110,451,2923,1.0000,1
4096,0.110,451,2924,0.9990,1
4096,0.110,451,2925,0.9976,1
4096,0.110,451,2926,0.9946,1
4096,0.110,451,2927,0.9961,1
4096,0.110,451,2928,0.9956,1
4096,0.110,451,2929,0.9937,1
4096,0.110,451,2930,0.9985,1
4096,0.110,451,2931,0.9976,1
4096,0.110,451,2932,0.9946,1
4096,0.110,451,2933,0.9966,1
4096,0.110,451,2934,0.9941,1
4096,0.110,451,2935,0.9956,1
4096,0.110,451,2936,0.9961,1
4096,0.110,451,2937,0.9966,1
4096,0.115,471,2918,0.9980,1
4096,0.115,471,2919,0.9941,1
4096,0.115,471,2920,0.9956,1
4096,0.115,471,2921,0.9961,1
4096,0.115,471,2922,0.9971,1
4096,0.115,471,2923,1.0000,1
4096,0.115,471,2924,0.9976,1
4096,0.115,471,2925,0.9951,1
4096,0.115,471,2926,0.9902,1
4096,0.115,471,2927,0.9951,1
4096,0.115,471,2928,0.9927,1
4096,0.115,471,2929,0.9893,1
4096,0.115,471,2930,0.9976,1
4096,0.115,471,2931,0.9961,1
4096,0.115,471,2932,0.9912,1
4096,0.115,471,2933,0.9956,1
4096,0.115,471,2934,0.9956,1
4096,0.115,471,2935,0.9917,1
4096,0.115,471,2936,0.9932,1
4096,0.115,471,2937,0.9927,1
4096,0.120,492,2918,0.9971,1
4096,0.120,492,2919,0.9907,1
4096,0.120,492,2920,0.9902,1
4096,0.120,492,2921,0.9932,1
4096,0.120,492,2922,0.9946,1
4096,0.120,492,2923,0.9995,1
4096,0.120,492,2924,0.9966,1
