dataset,k,seed,image_idx,c_ab,overlap,success
random,50,7735,47,-0.0007,1.0000,1
random,50,7735,48,-0.0007,1.0000,1
random,50,7735,49,-0.0007,1.0000,1
mnist,50,14581,0,0.6838,0.7577,0
mnist,50,14581,1,0.6838,0.6760,0
mnist,50,14581,2,0.6838,0.7270,0
mnist,50,14581,3,0.6838,0.8112,0
mnist,50,14581,4,0.6838,0.8393,0
mnist,50,14581,5,0.6838,0.7321,0
mnist,50,14581,6,0.6838,0.8597,0
mnist,50,14581,7,0.6838,0.6658,0
mnist,50,14581,8,0.6838,0.9158,0
mnist,50,14581,9,0.6838,0.7526,0
mnist,50,14581,10,0.6838,0.7704,0
mnist,50,14581,11,0.6838,0.7934,0
mnist,50,14581,12,0.6838,0.6378,0
mnist,50,14581,13,0.6838,0.7117,0
mnist,50,14581,14,0.6838,0.8852,0
mnist,50,14581,15,0.6838,0.7577,0
mnist,50,14581,16,0.6838,0.7270,0
mnist,50,14581,17,0.6838,0.7908,0
mnist,50,14581,18,0.6838,0.8189,0
mnist,50,14581,19,0.6838,0.8827,0
mnist,50,14581,20,0.6838,0.6556,0
mnist,50,14581,21,0.6838,0.6505,0
mnist,50,14581,22,0.6838,0.8520,0
mnist,50,14581,23,0.6838,0.8163,0
mnist,50,14581,24,0.6838,0.7959,0
mnist,50,14581,25,0.6838,0.6071,0
mnist,50,14581,26,0.6838,0.8265,0
mnist,50,14581,27,0.6838,0.5842,0
mnist,50,14581,28,0.6838,0.6173,0
mnist,50,14581,29,0.6838,0.8214,0
mnist,50,14581,30,0.6838,0.7679,0
mnist,50,14581,31,0.6838,0.7143,0
mnist,50,14581,32,0.6838,0.7908,0
mnist,50,14581,33,0.6838,0.8316,0
mnist,50,14581,34,0.6838,0.6556,0
mnist,50,14581,35,0.6838,0.8291,0
mnist,50,14581,36,0.6838,0.7270,0
mnist,50,14581,37,0.6838,0.6173,0
mnist,50,14581,38,0.6838,0.8061,0
mnist,50,14581,39,0.6838,0.7449,0
mnist,50,14581,40,0.6838,0.8852,0
mnist,50,14581,41,0.6838,0.7423,0
mnist,50,14581,42,0.6838,0.9031,0
mnist,50,14581,43,0.6838,0.8648,0
mnist,50,14581,44,0.6838,0.8112,0
mnist,50,14581,45,0.6838,0.7908,0
mnist,50,14581,46,0.6838,0.7653,0
mnist,50,14581,47,0.6838,0.7474,0
mnist,50,14581,48,0.6838,0.7959,0
mnist,50,14581,49,0.6838,0.7117,0
random,50,14581,0,-0.0000,1.0000,1
random,50,14581,1,-0.0000,1.0000,1
random,50,14581,2,-0.0000,1.0000,1
random,50,14581,3,-0.0000,1.0000,1
random,50,14581,4,-0.0000,1.0000,1
random,50,14581,5,-0.0000,1.0000,1
random,50,14581,6,-0.0000,1.0000,1
random,50,14581,7,-0.0000,1.0000,1
random,50,14581,8,-0.0000,1.0000,1
random,50,14581,9,-0.0000,0.9847,1
random,50,14581,10,-0.0000,1.0000,1
random,50,14581,11,-0.0000,1.0000,1
random,50,14581,12,-0.0000,1.0000,1
random,50,14581,13,-0.0000,1.0000,1
random,50,14581,14,-0.0000,1.0000,1
random,50,14581,15,-0.0000,1.0000,1
random,50,14581,16,-0.0000,1.0000,1
random,50,14581,17,-0.0000,1.0000,1
random,50,14581,18,-0.0000,1.0000,1
random,50,14581,19,-0.0000,1.0000,1
random,50,14581,20,-0.0000,1.0000,1
random,50,14581,21,-0.0000,1.0000,1
random,50,14581,22,-0.0000,1.0000,1
random,50,14581,23,-0.0000,1.0000,1
random,50,14581,24,-0.0000,1.0000,1
random,50,14581,25,-0.0000,1.0000,1
random,50,14581,26,-0.0000,1.0000,1
random,50,14581,27,-0.0000,1.0000,1
random,50,14581,28,-0.0000,1.0000,1
random,50,14581,29,-0.0000,1.0000,1
random,50,14581,30,-0.0000,1.0000,1
random,50,14581,31,-0.0000,1.0000,1
random,50,14581,32,-0.0000,1.0000,1
random,50,14581,33,-0.0000,1.0000,1
random,50,14581,34,-0.0000,1.0000,1
random,50,14581,35,-0.0000,1.0000,1
random,50,14581,36,-0.0000,1.0000,1
random,50,14581,37,-0.0000,1.0000,1
random,50,14581,38,-0.0000,1.0000,1
random,50,14581,39,-0.0000,1.0000,1
random,50,14581,40,-0.0000,1.0000,1
random,50,14581,41,-0.0000,1.0000,1
random,50,14581,42,-0.0000,1.0000,1
random,50,14581,43,-0.0000,1.0000,1
random,50,14581,44,-0.0000,1.0000,1
random,50,14581,45,-0.0000,1.0000,1
random,50,14581,46,-0.0000,1.0000,1
random,50,14581,47,-0.0000,1.0000,1
random,50,14581,48,-0.0000,1.0000,1
random,50,14581,49,-0.0000,1.0000,1
mnist,50,9881,0,0.6838,0.7577,0
mnist,50,9881,1,0.6838,0.6760,0
mnist,50,9881,2,0.6838,0.7270,0
mnist,50,9881,3,0.6838,0.8112,0
mnist,50,9881,4,0.6838,0.8393,0
mnist,50,9881,5,0.6838,0.7321,0
mnist,50,9881,6,0.6838,0.8597,0
mnist,50,9881,7,0.6838,0.6658,0
mnist,50,9881,8,0.6838,0.9158,0
mnist,50,9881,9,0.6838,0.7526,0
mnist,50,9881,10,0.6838,0.7704,0
mnist,50,9881,11,0.6838,0.7934,0
mnist,50,9881,12,0.6838,0.6378,0
mnist,50,9881,13,0.6838,0.7117,0
mnist,50,9881,14,0.6838,0.8852,0
mnist,50,9881,15,0.6838,0.7577,0
mnist,50,9881,16,0.6838,0.7270,0
mnist,50,9881,17,0.6838,0.7908,0
mnist,50,9881,18,0.6838,0.8189,0
mnist,50,9881,19,0.6838,0.8827,0
mnist,50,9881,20,0.6838,0.6556,0
mnist,50,9881,21,0.6838,0.6505,0
mnist,50,9881,22,0.6838,0.8520,0
mnist,50,9881,23,0.6838,0.8163,0
mnist,50,9881,24,0.6838,0.7959,0
mnist,50,9881,25,0.6838,0.6071,0
mnist,50,9881,26,0.6838,0.8265,0
mnist,50,9881,27,0.6838,0.5842,0
mnist,50,9881,28,0.6838,0.6173,0
mnist,50,9881,29,0.6838,0.8214,0
mnist,50,9881,30,0.6838,0.7679,0
mnist,50,9881,31,0.6838,0.7143,0
mnist,50,9881,32,0.6838,0.7908,0
mnist,50,9881,33,0.6838,0.8316,0
mnist,50,9881,34,0.6838,0.6556,0
mnist,50,9881,35,0.6838,0.8291,0
mnist,50,9881,36,0.6838,0.7270,0
mnist,50,9881,37,0.6838,0.6173,0
mnist,50,9881,38,0.6838,0.8061,0
mnist,50,9881,39,0.6838,0.7449,0
mnist,50,9881,40,0.6838,0.8852,0
mnist,50,9881,41,0.6838,0.7423,0
mnist,50,9881,42,0.6838,0.9031,0
mnist,50,9881,43,0.6838,0.8648,0
mnist,50,9881,44,0.6838,0.8112,0
mnist,50,9881,45,0.6838,0.7908,0
mnist,50,9881,46,0.6838,0.7653,0
mnist,50,9881,47,0.6838,0.7474,0
mnist,50,9881,48,0.6838,0.7959,0
mnist,50,9881,49,0.6838,0.7117,0
random,50,9881,0,-0.0014,1.0000,1
random,50,9881,1,-0.0014,1.0000,1
random,50,9881,2,-0.0014,1.0000,1
random,50,9881,3,-0.0014,1.0000,1
random,50,9881,4,-0.0014,1.0000,1
random,50,9881,5,-0.0014,1.0000,1
random,50,9881,6,-0.0014,1.0000,1
random,50,9881,7,-0.0014,1.0000,1
random,50,9881,8,-0.0014,1.0000,1
random,50,9881,9,-0.0014,1.0000,1
random,50,9881,10,-0.0014,0.9974,1
random,50,9881,11,-0.0014,1.0000,1
random,50,9881,12,-0.0014,1.0000,1
random,50,9881,13,-0.0014,1.0000,1
random,50,9881,14,-0.0014,1.0000,1
random,50,9881,15,-0.0014,1.0000,1
random,50,9881,16,-0.0014,1.0000,1
random,50,9881,17,-0.0014,1.0000,1
random,50,9881,18,-0.0014,1.0000,1
random,50,9881,19,-0.0014,1.0000,1
random,50,9881,20,-0.0014,1.0000,1
random,50,9881,21,-0.0014,1.0000,1
random,50,9881,22,-0.0014,1.0000,1
random,50,9881,23,-0.0014,1.0000,1
random,50,9881,24,-0.0014,1.0000,1
random,50,9881,25,-0.0014,1.0000,1
random,50,9881,26,-0.0014,1.0000,1
random,50,9881,27,-0.0014,1.0000,1
random,50,9881,28,-0.0014,1.0000,1
random,50,9881,29,-0.0014,1.0000,1
random,50,9881,30,-0.0014,1.0000,1
random,50,9881,31,-0.0014,1.0000,1
random,50,9881,32,-0.0014,1.0000,1
random,50,9881,33,-0.0014,1.0000,1
random,50,9881,34,-0.0014,1.0000,1
random,50,9881,35,-0.0014,1.0000,1
random,50,9881,36,-0.0014,1.0000,1
random,50,9881,37,-0.0014,1.0000,1
random,50,9881,38,-0.0014,1.0000,1
random,50,9881,39,-0.0014,1.0000,1
random,50,9881,40,-0.0014,1.0000,1
random,50,9881,41,-0.0014,1.0000,1
random,50,9881,42,-0.0014,1.0000,1
random,50,9881,43,-0.0014,1.0000,1
random,50,9881,44,-0.0014,1.0000,1
random,50,9881,45,-0.0014,1.0000,1
random,50,9881,46,-0.0014,1.0000,1
random,50,9881,47,-0.0014,1.0000,1
random,50,9881,48,-0.0014,1.0000,1
random,50,9881,49,-0.0014,1.0000,1
mnist,50,9739,0,0.6838,0.7577,0
mnist,50,9739,1,0.6838,0.6760,0
mnist,50,9739,2,0.6838,0.7270,0
mnist,50,9739,3,0.6838,0.8112,0
mnist,50,9739,4,0.6838,0.8393,0
mnist,50,9739,5,0.6838,0.7321,0
mnist,50,9739,6,0.6838,0.8597,0
mnist,50,9739,7,0.6838,0.6658,0
mnist,50,9739,8,0.6838,0.9158,0
mnist,50,9739,9,0.6838,0.7526,0
mnist,50,9739,10,0.6838,0.7704,0
mnist,50,9739,11,0.6838,0.7934,0
mnist,50,9739,12,0.6838,0.6378,0
mnist,50,9739,13,0.6838,0.7117,0
mnist,50,9739,14,0.6838,0.8852,0
mnist,50,9739,15,0.6838,0.7577,0
mnist,50,9739,16,0.6838,0.7270,0
mnist,50,9739,17,0.6838,0.7908,0
mnist,50,9739,18,0.6838,0.8189,0
mnist,50,9739,19,0.6838,0.8827,0
mnist,50,9739,20,0.6838,0.6556,0
mnist,50,9739,21,0.6838,0.6505,0
mnist,50,9739,22,0.6838,0.8520,0
mnist,50,9739,23,0.6838,0.8163,0
mnist,50,9739,24,0.6838,0.7959,0
mnist,50,9739,25,0.6838,0.6071,0
mnist,50,9739,26,0.6838,0.8265,0
mnist,50,9739,27,0.6838,0.5842,0
mnist,50,9739,28,0.6838,0.6173,0
mnist,50,9739,29,0.6838,0.8214,0
mnist,50,9739,30,0.6838,0.7679,0
mnist,50,9739,31,0.6838,0.7143,0
mnist,50,9739,32,0.6838,0.7908,0
mnist,50,9739,33,0.6838,0.8316,0
mnist,50,9739,34,0.6838,0.6556,0
mnist,50,9739,35,0.6838,0.8291,0
mnist,50,9739,36,0.6838,0.7270,0
mnist,50,9739,37,0.6838,0.6173,0
mnist,50,9739,38,0.6838,0.8061,0
mnist,50,9739,39,0.6838,0.7449,0
mnist,50,9739,40,0.6838,0.8852,0
mnist,50,9739,41,0.6838,0.7423,0
mnist,50,9739,42,0.6838,0.9031,0
mnist,50,9739,43,0.6838,0.8648,0
mnist,50,9739,44,0.6838,0.8112,0
mnist,50,9739,45,0.6838,0.7908,0
mnist,50,9739,46,0.6838,0.7653,0
mnist,50,9739,47,0.6838,0.7474,0
mnist,50,9739,48,0.6838,0.7959,0
mnist,50,9739,49,0.6838,0.7117,0
random,50,9739,0,-0.0004,1.0000,1
random,50,9739,1,-0.0004,1.0000,1
random,50,9739,2,-0.0004,1.0000,1
random,50,9739,3,-0.0004,1.0000,1
random,50,9739,4,-0.0004,1.0000,1
random,50,9739,5,-0.0004,1.0000,1
random,50,9739,6,-0.0004,1.0000,1
random,50,9739,7,-0.0004,1.0000,1
random,50,9739,8,-0.0004,1.0000,1
random,50,9739,9,-0.0004,1.0000,1
random,50,9739,10,-0.0004,1.0000,1
random,50,9739,11,-0.0004,1.0000,1
random,50,9739,12,-0.0004,1.0000,1
random,50,9739,13,-0.0004,1.0000,1
random,50,9739,14,-0.0004,1.0000,1
random,50,9739,15,-0.0004,1.0000,1
random,50,9739,16,-0.0004,1.0000,1
random,50,9739,17,-0.0004,1.0000,1
random,50,9739,18,-0.0004,1.0000,1
random,50,9739,19,-0.0004,1.0000,1
random,50,9739,20,-0.0004,1.0000,1
random,50,9739,21,-0.0004,1.0000,1
random,50,9739,22,-0.0004,1.0000,1
random,50,9739,23,-0.0004,1.0000,1
random,50,9739,24,-0.0004,1.0000,1
random,50,9739,25,-0.0004,1.0000,1
random,50,9739,26,-0.0004,1.0000,1
random,50,9739,27,-0.0004,1.0000,1
random,50,9739,28,-0.0004,1.0000,1
random,50,9739,29,-0.0004,1.0000,1
random,50,9739,30,-0.0004,1.0000,1
random,50,9739,31,-0.0004,1.0000,1
random,50,9739,32,-0.0004,1.0000,1
random,50,9739,33,-0.0004,1.0000,1
random,50,9739,34,-0.0004,1.0000,1
random,50,9739,35,-0.0004,1.0000,1
random,50,9739,36,-0.0004,1.0000,1
random,50,9739,37,-0.0004,1.0000,1
random,50,9739,38,-0.0004,1.0000,1
random,50,9739,39,-0.0004,1.0000,1
random,50,9739,40,-0.0004,1.0000,1
random,50,9739,41,-0.0004,1.0000,1
random,50,9739,42,-0.0004,1.0000,1
random,50,9739,43,-0.0004,1.0000,1
random,50,9739,44,-0.0004,1.0000,1
random,50,9739,45,-0.0004,1.0000,1
random,50,9739,46,-0.0004,1.0000,1
random,50,9739,47,-0.0004,1.0000,1
random,50,9739,48,-0.0004,1.0000,1
random,50,9739,49,-0.0004,1.0000,1
mnist,50,13108,0,0.6838,0.7577,0
mnist,50,13108,1,0.6838,0.6760,0
mnist,50,13108,2,0.6838,0.7270,0
mnist,50,13108,3,0.6838,0.8112,0
mnist,50,13108,4,0.6838,0.8393,0
mnist,50,13108,5,0.6838,0.7321,0
mnist,50,13108,6,0.6838,0.8597,0
mnist,50,13108,7,0.6838,0.6658,0
mnist,50,13108,8,0.6838,0.9158,0
mnist,50,13108,9,0.6838,0.7526,0
mnist,50,13108,10,0.6838,0.7704,0
mnist,50,13108,11,0.6838,0.7934,0
mnist,50,13108,12,0.6838,0.6378,0
mnist,50,13108,13,0.6838,0.7117,0
mnist,50,13108,14,0.6838,0.8852,0
mnist,50,13108,15,0.6838,0.7577,0
mnist,50,13108,16,0.6838,0.7270,0
mnist,50,13108,17,0.6838,0.7908,0
mnist,50,13108,18,0.6838,0.8189,0
mnist,50,13108,19,0.6838,0.8827,0
mnist,50,13108,20,0.6838,0.6556,0
mnist,50,13108,21,0.6838,0.6505,0
mnist,50,13108,22,0.6838,0.8520,0
mnist,50,13108,23,0.6838,0.8163,0
mnist,50,13108,24,0.6838,0.7959,0
mnist,50,13108,25,0.6838,0.6071,0
mnist,50,13108,26,0.6838,0.8265,0
mnist,50,13108,27,0.6838,0.5842,0
mnist,50,13108,28,0.6838,0.6173,0
mnist,50,13108,29,0.6838,0.8214,0
mnist,50,13108,30,0.6838,0.7679,0
mnist,50,13108,31,0.6838,0.7143,0
mnist,50,13108,32,0.6838,0.7908,0
mnist,50,13108,33,0.6838,0.8316,0
mnist,50,13108,34,0.6838,0.6556,0
mnist,50,13108,35,0.6838,0.8291,0
mnist,50,13108,36,0.6838,0.7270,0
mnist,50,13108,37,0.6838,0.6173,0
mnist,50,13108,38,0.6838,0.8061,0
mnist,50,13108,39,0.6838,0.7449,0
mnist,50,13108,40,0.6838,0.8852,0
mnist,50,13108,41,0.6838,0.7423,0
mnist,50,13108,42,0.6838,0.9031,0
mnist,50,13108,43,0.6838,0.8648,0
mnist,50,13108,44,0.6838,0.8112,0
mnist,50,13108,45,0.6838,0.7908,0
mnist,50,13108,46,0.6838,0.7653,0
mnist,50,13108,47,0.6838,0.7474,0
mnist,50,13108,48,0.6838,0.7959,0
mnist,50,13108,49,0.6838,0.7117,0
random,50,13108,0,0.0015,1.0000,1
random,50,13108,1,0.0015,1.0000,1
random,50,13108,2,0.0015,1.0000,1
random,50,13108,3,0.0015,1.0000,1
random,50,13108,4,0.0015,1.0000,1
random,50,13108,5,0.0015,1.0000,1
random,50,13108,6,0.0015,1.0000,1
random,50,13108,7,0.0015,1.0000,1
random,50,13108,8,0.0015,1.0000,1
random,50,13108,9,0.0015,1.0000,1
random,50,13108,10,0.0015,1.0000,1
random,50,13108,11,0.0015,1.0000,1
random,50,13108,12,0.0015,1.0000,1
random,50,13108,13,0.0015,1.0000,1
random,50,13108,14,0.0015,1.0000,1
random,50,13108,15,0.0015,1.0000,1
random,50,13108,16,0.0015,1.0000,1
random,50,13108,17,0.0015,1.0000,1
random,50,13108,18,0.0015,1.0000,1
random,50,13108,19,0.0015,1.0000,1
random,50,13108,20,0.0015,1.0000,1
random,50,13108,21,0.0015,1.0000,1
random,50,13108,22,0.0015,1.0000,1
random,50,13108,23,0.0015,1.0000,1
random,50,13108,24,0.0015,1.0000,1
random,50,13108,25,0.0015,1.0000,1
random,50,13108,26,0.0015,1.0000,1
random,50,13108,27,0.0015,1.0000,1
random,50,13108,28,0.0015,1.0000,1
random,50,13108,29,0.0015,1.0000,1
random,50,13108,30,0.0015,1.0000,1
random,50,13108,31,0.0015,1.0000,1
random,50,13108,32,0.0015,1.0000,1
random,50,13108,33,0.0015,1.0000,1
random,50,13108,34,0.0015,1.0000,1
random,50,13108,35,0.0015,1.0000,1
random,50,13108,36,0.0015,1.0000,1
random,50,13108,37,0.0015,1.0000,1
random,50,13108,38,0.0015,1.0000,1
random,50,13108,39,0.0015,1.0000,1
random,50,13108,40,0.0015,1.0000,1
random,50,13108,41,0.0015,1.0000,1
random,50,13108,42,0.0015,1.0000,1
random,50,13108,43,0.0015,1.0000,1
random,50,13108,44,0.0015,1.0000,1
random,50,13108,45,0.0015,1.0000,1
random,50,13108,46,0.0015,1.0000,1
random,50,13108,47,0.0015,1.0000,1
random,50,13108,48,0.0015,1.0000,1
random,50,13108,49,0.0015,1.0000,1
mnist,50,14225,0,0.6838,0.7577,0
mnist,50,14225,1,0.6838,0.6760,0
mnist,50,14225,2,0.6838,0.7270,0
mnist,50,14225,3,0.6838,0.8112,0
mnist,50,14225,4,0.6838,0.8393,0
mnist,50,14225,5,0.6838,0.7321,0
mnist,50,14225,6,0.6838,0.8597,0
mnist,50,14225,7,0.6838,0.6658,0
mnist,50,14225,8,0.6838,0.9158,0
mnist,50,14225,9,0.6838,0.7526,0
mnist,50,14225,10,0.6838,0.7704,0
mnist,50,14225,11,0.6838,0.7934,0
mnist,50,14225,12,0.6838,0.6378,0
mnist,50,14225,13,0.6838,0.7117,0
mnist,50,14225,14,0.6838,0.8852,0
mnist,50,14225,15,0.6838,0.7577,0
mnist,50,14225,16,0.6838,0.7270,0
mnist,50,14225,17,0.6838,0.7908,0
mnist,50,14225,18,0.6838,0.8189,0
mnist,50,14225,19,0.6838,0.8827,0
mnist,50,14225,20,0.6838,0.6556,0
mnist,50,14225,21,0.6838,0.6505,0
mnist,50,14225,22,0.6838,0.8520,0
mnist,50,14225,23,0.6838,0.8163,0
mnist,50,14225,24,0.6838,0.7959,0
mnist,50,14225,25,0.6838,0.6071,0
mnist,50,14225,26,0.6838,0.8265,0
mnist,50,14225,27,0.6838,0.5842,0
mnist,50,14225,28,0.6838,0.6173,0
mnist,50,14225,29,0.6838,0.8214,0
mnist,50,14225,30,0.6838,0.7679,0
mnist,50,14225,31,0.6838,0.7143,0
mnist,50,14225,32,0.6838,0.7908,0
mnist,50,14225,33,0.6838,0.8316,0
mnist,50,14225,34,0.6838,0.6556,0
mnist,50,14225,35,0.6838,0.8291,0
mnist,50,14225,36,0.6838,0.7270,0
mnist,50,14225,37,0.6838,0.6173,0
mnist,50,14225,38,0.6838,0.8061,0
mnist,50,14225,39,0.6838,0.7449,0
mnist,50,14225,40,0.6838,0.8852,0
mnist,50,14225,41,0.6838,0.7423,0
mnist,50,14225,42,0.6838,0.9031,0
mnist,50,14225,43,0.6838,0.8648,0
mnist,50,14225,44,0.6838,0.8112,0
mnist,50,14225,45,0.6838,0.7908,0
mnist,50,14225,46,0.6838,0.7653,0
mnist,50,14225,47,0.6838,0.7474,0
mnist,50,14225,48,0.6838,0.7959,0
mnist,50,14225,49,0.6838,0.7117,0
random,50,14225,0,-0.0007,1.0000,1
random,50,14225,1,-0.0007,1.0000,1
random,50,14225,2,-0.0007,1.0000,1
random,50,14225,3,-0.0007,1.0000,1
random,50,14225,4,-0.0007,1.0000,1
random,50,14225,5,-0.0007,1.0000,1
random,50,14225,6,-0.0007,1.0000,1
random,50,14225,7,-0.0007,1.0000,1
random,50,14225,8,-0.0007,1.0000,1
random,50,14225,9,-0.0007,1.0000,1
random,50,14225,10,-0.0007,1.0000,1
random,50,14225,11,-0.0007,1.0000,1
random,50,14225,12,-0.0007,1.0000,1
random,50,14225,13,-0.0007,1.0000,1
random,50,14225,14,-0.0007,1.0000,1
random,50,14225,15,-0.0007,1.0000,1
random,50,14225,16,-0.0007,1.0000,1
random,50,14225,17,-0.0007,1.0000,1
random,50,14225,18,-0.0007,1.0000,1
random,50,14225,19,-0.0007,1.0000,1
random,50,14225,20,-0.0007,1.0000,1
random,50,14225,21,-0.0007,1.0000,1
random,50,14225,22,-0.0007,1.0000,1
random,50,14225,23,-0.0007,1.0000,1
random,50,14225,24,-0.0007,1.0000,1
random,50,14225,25,-0.0007,1.0000,1
random,50,14225,26,-0.0007,1.0000,1
random,50,14225,27,-0.0007,1.0000,1
random,50,14225,28,-0.0007,1.0000,1
random,50,14225,29,-0.0007,1.0000,1
random,50,14225,30,-0.0007,1.0000,1
random,50,14225,31,-0.0007,1.0000,1
random,50,14225,32,-0.0007,1.0000,1
random,50,14225,33,-0.0007,1.0000,1
random,50,14225,34,-0.0007,1.0000,1
random,50,14225,35,-0.0007,1.0000,1
random,50,14225,36,-0.0007,1.0000,1
random,50,14225,37,-0.0007,1.0000,1
random,50,14225,38,-0.0007,1.0000,1
random,50,14225,39,-0.0007,1.0000,1
random,50,14225,40,-0.0007,1.0000,1
random,50,14225,41,-0.0007,1.0000,1
random,50,14225,42,-0.0007,1.0000,1
random,50,14225,43,-0.0007,1.0000,1
random,50,14225,44,-0.0007,1.0000,1
random,50,14225,45,-0.0007,1.0000,1
random,50,14225,46,-0.0007,1.0000,1
random,50,14225,47,-0.0007,1.0000,1
random,50,14225,48,-0.0007,1.0000,1
random,50,14225,49,-0.0007,1.0000,1
mnist,50,14537,0,0.6838,0.7577,0
mnist,50,14537,1,0.6838,0.6760,0
mnist,50,14537,2,0.6838,0.7270,0
mnist,50,14537,3,0.6838,0.8112,0
mnist,50,14537,4,0.6838,0.8393,0
mnist,50,14537,5,0.6838,0.7321,0
mnist,50,14537,6,0.6838,0.8597,0
mnist,50,14537,7,0.6838,0.6658,0
mnist,50,14537,8,0.6838,0.9158,0
mnist,50,14537,9,0.6838,0.7526,0
mnist,50,14537,10,0.6838,0.7704,0
mnist,50,14537,11,0.6838,0.7934,0
mnist,50,14537,12,0.6838,0.6378,0
mnist,50,14537,13,0.6838,0.7117,0
mnist,50,14537,14,0.6838,0.8852,0
mnist,50,14537,15,0.6838,0.7577,0
mnist,50,14537,16,0.6838,0.7270,0
mnist,50,14537,17,0.6838,0.7908,0
mnist,50,14537,18,0.6838,0.8189,0
mnist,50,14537,19,0.6838,0.8827,0
mnist,50,14537,20,0.6838,0.6556,0
mnist,50,14537,21,0.6838,0.6505,0
mnist,50,14537,22,0.6838,0.8520,0
mnist,50,14537,23,0.6838,0.8163,0
mnist,50,14537,24,0.6838,0.7959,0
mnist,50,14537,25,0.6838,0.6071,0
mnist,50,14537,26,0.6838,0.8265,0
mnist,50,14537,27,0.6838,0.5842,0
mnist,50,14537,28,0.6838,0.6173,0
mnist,50,14537,29,0.6838,0.8214,0
mnist,50,14537,30,0.6838,0.7679,0
mnist,50,14537,31,0.6838,0.7143,0
mnist,50,14537,32,0.6838,0.7908,0
mnist,50,14537,33,0.6838,0.8316,0
mnist,50,14537,34,0.6838,0.6556,0
mnist,50,14537,35,0.6838,0.8291,0
mnist,50,14537,36,0.6838,0.7270,0
mnist,50,14537,37,0.6838,0.6173,0
mnist,50,14537,38,0.6838,0.8061,0
mnist,50,14537,39,0.6838,0.7449,0
mnist,50,14537,40,0.6838,0.8852,0
mnist,50,14537,41,0.6838,0.7423,0
mnist,50,14537,42,0.6838,0.9031,0
mnist,50,14537,43,0.6838,0.8648,0
mnist,50,14537,44,0.6838,0.8112,0
mnist,50,14537,45,0.6838,0.7908,0
mnist,50,14537,46,0.6838,0.7653,0
mnist,50,14537,47,0.6838,0.7474,0
mnist,50,14537,48,0.6838,0.7959,0
mnist,50,14537,49,0.6838,0.7117,0
random,50,14537,0,-0.0017,1.0000,1
random,50,14537,1,-0.0017,1.0000,1
random,50,14537,2,-0.0017,1.0000,1
random,50,14537,3,-0.0017,1.0000,1
random,50,14537,4,-0.0017,1.0000,1
random,50,14537,5,-0.0017,1.0000,1
random,50,14537,6,-0.0017,1.0000,1
random,50,14537,7,-0.0017,1.0000,1
random,50,14537,8,-0.0017,1.0000,1
random,50,14537,9,-0.0017,1.0000,1
random,50,14537,10,-0.0017,1.0000,1
random,50,14537,11,-0.0017,1.0000,1
random,50,14537,12,-0.0017,1.0000,1
random,50,14537,13,-0.0017,1.0000,1
random,50,14537,14,-0.0017,1.0000,1
random,50,14537,15,-0.0017,1.0000,1
random,50,14537,16,-0.0017,1.0000,1
random,50,14537,17,-0.0017,1.0000,1
random,50,14537,18,-0.0017,1.0000,1
random,50,14537,19,-0.0017,1.0000,1
random,50,14537,20,-0.0017,1.0000,1
random,50,14537,21,-0.0017,1.0000,1
random,50,14537,22,-0.0017,1.0000,1
random,50,14537,23,-0.0017,1.0000,1
random,50,14537,24,-0.0017,1.0000,1
random,50,14537,25,-0.0017,1.0000,1
random,50,14537,26,-0.0017,1.0000,1
random,50,14537,27,-0.0017,1.0000,1
random,50,14537,28,-0.0017,1.0000,1
random,50,14537,29,-0.0017,1.0000,1
random,50,14537,30,-0.0017,1.0000,1
random,50,14537,31,-0.0017,1.0000,1
random,50,14537,32,-0.0017,1.0000,1
random,50,14537,33,-0.0017,1.0000,1
random,50,14537,34,-0.0017,1.0000,1
random,50,14537,35,-0.0017,1.0000,1
random,50,14537,36,-0.0017,1.0000,1
random,50,14537,37,-0.0017,1.0000,1
random,50,14537,38,-0.0017,1.0000,1
random,50,14537,39,-0.0017,1.0000,1
random,50,14537,40,-0.0017,1.0000,1
random,50,14537,41,-0.0017,1.0000,1
random,50,14537,42,-0.0017,1.0000,1
random,50,14537,43,-0.0017,1.0000,1
random,50,14537,44,-0.0017,1.0000,1
random,50,14537,45,-0.0017,1.0000,1
random,50,14537,46,-0.0017,1.0000,1
random,50,14537,47,-0.0017,0.9974,1
random,50,14537,48,-0.0017,1.0000,1
random,50,14537,49,-0.0017,1.0000,1
mnist,50,8031,0,0.6838,0.7577,0
mnist,50,8031,1,0.6838,0.6760,0
mnist,50,8031,2,0.6838,0.7270,0
mnist,50,8031,3,0.6838,0.8112,0
mnist,50,8031,4,0.6838,0.8393,0
mnist,50,8031,5,0.6838,0.7321,0
mnist,50,8031,6,0.6838,0.8597,0
mnist,50,8031,7,0.6838,0.6658,0
mnist,50,8031,8,0.6838,0.9158,0
mnist,50,8031,9,0.6838,0.7526,0
mnist,50,8031,10,0.6838,0.7704,0
mnist,50,8031,11,0.6838,0.7934,0
mnist,50,8031,12,0.6838,0.6378,0
mnist,50,8031,13,0.6838,0.7117,0
mnist,50,8031,14,0.6838,0.8852,0
mnist,50,8031,15,0.6838,0.7577,0
mnist,50,8031,16,0.6838,0.7270,0
mnist,50,8031,17,0.6838,0.7908,0
mnist,50,8031,18,0.6838,0.8189,0
